image,popularity_score,is_female,baby,child,teenager,youth,middle_age,senior
10175315_229956797193001_2008078004_a,4.379,1,-1,-1,-1,1,-1,-1
10013209_1402520500023782_298000570_a_0_9264,3.38,1,-1,-1,-1,-1,-1,1
1515702_1472914752926193_122427155_a_0_2792,3.534,-1,-1,1,-1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_6226,5.283,1,-1,-1,-1,-1,-1,1
10175161_1411963282402729_704621517_a_0_4345,4.654,-1,-1,-1,1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_3682,3.38,1,-1,-1,-1,-1,-1,1
1388988_629948787086967_1469843650_a_0_2802,3.887,1,1,-1,-1,-1,-1,-1
1738938_1418489918410892_302365340_a_0_2291,4.507,-1,-1,1,-1,-1,-1,-1
10245936_664773490225527_1729525676_a_0_8877,4.736,-1,-1,1,-1,-1,-1,-1
10251549_619641254782634_887046682_a_0_1815,4.231,-1,-1,-1,1,-1,-1,-1
926445_249258661923983_158451895_a,3.23,1,-1,-1,-1,1,-1,-1
927933_250537495130126_277720731_a,4.342,1,-1,-1,-1,1,-1,-1
10013301_717711268250674_1722312966_a_0_2983,4.116,-1,-1,-1,-1,-1,1,-1
d6fd373880e311e2b85522000a9e28f2_6_0_7784,5.272,1,1,-1,-1,-1,-1,-1
10175349_626457037425321_1670871731_a_0_9309,4.402,-1,-1,1,-1,-1,-1,-1
10251484_639696889450463_1631461431_a,4.713,1,-1,-1,-1,1,-1,-1
10175144_237320729798344_1913606616_a_0_3289,4.01,1,1,-1,-1,-1,-1,-1
1388940_615188545241575_1046750361_a_0_2270,5.372,-1,-1,-1,1,-1,-1,-1
10013040_428139843997335_1471084578_a_0_9141,4.337,1,1,-1,-1,-1,-1,-1
10254181_753995364633111_109551758_a_0_2793,3.686,1,-1,-1,-1,-1,-1,1
10175170_1440609606178710_80705661_a_0_2704,5.591,-1,-1,-1,-1,-1,1,-1
10251513_542583812522614_2039057525_a_0_8346,4.664,-1,-1,1,-1,-1,-1,-1
929075_538655589587471_362424462_a,5.164,1,-1,-1,-1,1,-1,-1
1516236_616513321748386_233683959_a_0_6348,4.208,-1,-1,-1,1,-1,-1,-1
10011391_1421529728101761_71288005_a_0_3029,4.049,-1,-1,-1,-1,-1,1,-1
10013209_1402520500023782_298000570_a_0_2428,3.38,1,-1,-1,-1,-1,-1,1
10175403_654359797933066_136029331_a_0_1730,4.044,-1,-1,-1,1,-1,-1,-1
1515712_276896212469285_628880636_a_0_7004,3.426,-1,-1,-1,-1,-1,1,-1
10175150_520973454677840_1852966034_a_0_1232,4.618,-1,-1,1,-1,-1,-1,-1
10175396_688482031216115_1396907336_a_0_6618,4.375,1,1,-1,-1,-1,-1,-1
10011202_1394562430822950_2063298831_a_0_3122,3.509,-1,-1,-1,-1,-1,1,-1
10175095_1481223508758983_927344650_a_0_4373,3.702,-1,-1,-1,1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_5229,5.283,1,-1,-1,-1,-1,-1,1
10013033_267141560113901_1792403080_a_0_1430,4.992,1,-1,-1,-1,-1,-1,1
10013209_1402520500023782_298000570_a_0_2805,3.38,1,-1,-1,-1,-1,-1,1
10254181_753995364633111_109551758_a_0_4594,3.686,1,-1,-1,-1,-1,-1,1
1941182_617249341695928_1384066536_a,4.942,1,-1,-1,-1,1,-1,-1
10005652_213747508834759_2031083320_a_0_173,3.691,-1,-1,1,-1,-1,-1,-1
1171788_429588273843978_1140529095_a_0_1417,4.887,-1,-1,-1,-1,-1,1,-1
1516818_767179956634416_2010108335_a_0_6153,5.283,1,-1,-1,-1,-1,-1,1
1516818_767179956634416_2010108335_a_0_9832,5.283,1,-1,-1,-1,-1,-1,1
10175396_688482031216115_1396907336_a_0_653,4.375,1,1,-1,-1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_5215,5.283,1,-1,-1,-1,-1,-1,1
1209522_474854985947704_1775658808_a_0_1346,4.595,-1,-1,1,-1,-1,-1,-1
925459_834557103225523_1228624476_a_0_8263,4.101,-1,-1,-1,-1,1,1,1
1538598_672383292818318_1856167345_a,5.574,1,-1,-1,-1,1,-1,-1
1516818_767179956634416_2010108335_a_0_8354,5.283,1,-1,-1,-1,-1,-1,1
10254181_753995364633111_109551758_a_0_3903,3.686,1,-1,-1,-1,-1,-1,1
1388895_653532541386470_759294485_a_0_7997,4.559,1,1,-1,-1,-1,-1,-1
10175165_642555529151664_1151057815_a_0_9899,4.276,-1,-1,1,-1,-1,-1,-1
1515197_1397752503836654_1120004299_a_0_2401,3.903,-1,-1,-1,1,-1,-1,-1
1515136_601047023315011_2135621447_a,3.589,1,-1,-1,-1,1,-1,-1
1515864_1463667290531336_1661135568_a_0_3231,4.086,-1,-1,-1,-1,-1,1,-1
10251441_686816454694174_630956883_a_0_5588,4.11,-1,-1,1,-1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_637,5.283,1,-1,-1,-1,-1,-1,1
925222_1423754774548558_996766731_a,3.584,1,-1,-1,-1,1,-1,-1
10246040_745889185455237_2101613063_a,3.37,1,-1,-1,-1,1,-1,-1
1516818_767179956634416_2010108335_a_0_2113,5.283,1,-1,-1,-1,-1,-1,1
10013033_267141560113901_1792403080_a_0_7536,4.992,1,-1,-1,-1,-1,-1,1
1171619_658714874194832_380655632_a_0_6091,4.449,-1,-1,-1,1,-1,-1,-1
1171758_216031078607619_1622085903_a_0_7493,4.182,1,1,-1,-1,-1,-1,-1
10245911_263074003874471_274518462_a_0_9249,4.361,-1,-1,-1,1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_8083,3.38,1,-1,-1,-1,-1,-1,1
1530802_1425601484357483_433704131_a,4.625,1,-1,-1,-1,1,-1,-1
926721_1422751624645955_1260061499_a,3.602,-1,-1,-1,1,-1,-1,-1
925459_834557103225523_1228624476_a_0_415,4.101,-1,-1,-1,-1,1,1,1
10013209_1402520500023782_298000570_a_0_8480,3.38,1,-1,-1,-1,-1,-1,1
1388895_653532541386470_759294485_a_0_6138,4.559,1,1,-1,-1,-1,-1,-1
10013113_640557202664407_230974357_a_0_4185,4.726,1,1,-1,-1,-1,-1,-1
1208393_816739545007608_1327134753_a,3.884,-1,-1,-1,-1,-1,1,-1
10251518_623472421069542_2083714853_a_0_8206,4.287,-1,-1,-1,-1,-1,1,-1
10246216_684987514873917_758768050_a,3.893,-1,-1,-1,1,-1,-1,-1
1516620_1442136002692253_1574205043_a_0_7479,4.353,-1,-1,-1,1,-1,-1,-1
927278_1414469058813717_1812368948_a_0_5113,4.879,1,1,-1,-1,-1,-1,-1
10246199_1408632409406598_1873219888_a,3.905,1,-1,-1,-1,1,-1,-1
10013033_267141560113901_1792403080_a_0_1488,4.992,1,-1,-1,-1,-1,-1,1
10175383_1473485892881802_41741240_a_0_5881,3.905,-1,-1,-1,-1,-1,1,-1
10246013_619510404771519_566408859_a,5.216,1,-1,-1,-1,1,-1,-1
10254181_753995364633111_109551758_a_0_8347,3.686,1,-1,-1,-1,-1,-1,1
1527778_1406107926328031_1415660921_a_0_8463,3.198,-1,-1,1,-1,-1,-1,-1
10251418_707714289271797_1872528208_a_0_4745,3.417,1,1,-1,-1,-1,-1,-1
1516116_685161551541644_1095264427_a,5.314,1,-1,-1,-1,1,-1,-1
925459_834557103225523_1228624476_a_0_4441,4.101,-1,-1,-1,-1,1,1,1
1742684_1400360620240494_441683011_a_0_1019,4.795,-1,-1,-1,1,-1,-1,-1
1530608_1482965018585403_1355050435_a,4.831,-1,-1,-1,-1,-1,1,-1
926739_644103208993470_1726537579_a,4.083,-1,-1,-1,1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_457,4.992,1,-1,-1,-1,-1,-1,1
926437_1489962934558405_1573754345_a,4.596,1,-1,-1,-1,1,-1,-1
10249190_493563284076790_1192326800_a_0_4778,3.856,-1,-1,-1,-1,-1,1,-1
10254181_753995364633111_109551758_a_0_5366,3.686,1,-1,-1,-1,-1,-1,1
10013033_267141560113901_1792403080_a_0_9881,4.992,1,-1,-1,-1,-1,-1,1
1530866_1413840045548327_308478906_a,4.254,-1,-1,-1,-1,-1,1,-1
10013209_1402520500023782_298000570_a_0_1948,3.38,1,-1,-1,-1,-1,-1,1
10251441_686816454694174_630956883_a_0_8305,4.11,-1,-1,1,-1,-1,-1,-1
10175172_465437180255355_1513852407_a_0_9300,4.297,1,1,-1,-1,-1,-1,-1
10012515_634479689964219_158032892_a,4.457,-1,-1,-1,1,-1,-1,-1
1171991_495900643869665_847832060_a_0_1774,4.006,-1,-1,-1,-1,-1,1,-1
1516818_767179956634416_2010108335_a_0_8723,5.283,1,-1,-1,-1,-1,-1,1
1689111_450042771789970_303089699_a_0_7746,5.667,1,1,-1,-1,-1,-1,-1
1743048_1404586993132253_2039307144_a_0_2691,3.203,-1,-1,1,-1,-1,-1,-1
1389541_1410354382564219_1802145741_a_0_1124,4.635,-1,-1,-1,1,-1,-1,-1
10254343_685188868183400_1011305738_a,4.557,1,-1,-1,-1,1,-1,-1
10246133_475870642542003_1585439063_a_0_241,4.967,-1,-1,-1,1,-1,-1,-1
927935_622676817827378_437552344_a_0_3732,5.257,-1,-1,-1,-1,-1,1,-1
925821_622551114493588_809849865_a,4.631,1,-1,-1,-1,1,-1,-1
10175215_739320876088073_1622298414_a,3.649,1,-1,-1,-1,1,-1,-1
10175382_1488614038016775_1924410421_a,4.349,1,-1,-1,-1,1,-1,-1
1516434_668896636511262_396975085_a_0_8838,4.397,-1,-1,1,-1,-1,-1,-1
10009349_626355770780091_1710456854_a_0_471,4.557,-1,-1,-1,1,-1,-1,-1
926735_709228022456929_1798695860_a_0_1042,4.763,-1,-1,-1,-1,-1,1,-1
10013033_267141560113901_1792403080_a_0_4105,4.992,1,-1,-1,-1,-1,-1,1
10261057_606147279467224_1691426914_a_0_7962,4.571,-1,-1,1,-1,-1,-1,-1
1662208_497115537060072_1310029480_a,5.278,1,-1,-1,-1,1,-1,-1
1516818_767179956634416_2010108335_a_0_4756,5.283,1,-1,-1,-1,-1,-1,1
10254181_753995364633111_109551758_a_0_915,3.686,1,-1,-1,-1,-1,-1,1
1516012_257567494415850_734325950_a_0_333,4.101,-1,-1,1,-1,-1,-1,-1
10254093_222254404637311_1376892777_a_0_7355,4.25,1,1,-1,-1,-1,-1,-1
925234_1423623644559134_1475546677_a,4.614,1,-1,-1,-1,1,-1,-1
1740790_542867189164649_451833173_a_0_3824,3.65,-1,-1,1,-1,-1,-1,-1
1171709_725948674103150_784734743_a_0_7482,4.132,1,1,-1,-1,-1,-1,-1
10011459_266443140192109_432402288_a_0_6399,4.359,-1,-1,-1,-1,-1,1,-1
10175260_584278218329385_1696706142_a_0_7062,4.35,-1,-1,1,-1,-1,-1,-1
1170176_549871661798843_1561502654_a,4.111,1,-1,-1,-1,1,-1,-1
10249172_1426398737612093_1145275226_a_0_4019,3.336,-1,-1,1,-1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_848,4.992,1,-1,-1,-1,-1,-1,1
10011201_229619030579129_1801187320_a_0_9727,3.518,1,1,-1,-1,-1,-1,-1
10246060_1421216098137195_805261151_a_0_1543,4.035,-1,-1,1,-1,-1,-1,-1
1208454_640744409340502_327156708_a_0_6627,4.269,1,1,-1,-1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_4803,4.992,1,-1,-1,-1,-1,-1,1
1516263_782726015077288_1676423577_a_0_807,3.198,1,1,-1,-1,-1,-1,-1
1742437_434740333337480_1582302658_a,4.828,-1,-1,-1,1,-1,-1,-1
10251513_542583812522614_2039057525_a_0_6420,4.664,-1,-1,1,-1,-1,-1,-1
10009860_609702332453841_891144940_a_0_5524,4.227,-1,-1,-1,1,-1,-1,-1
10261147_676053852440757_1206424144_a,4.206,1,-1,-1,-1,1,-1,-1
10005567_1529081197318916_502207919_a_0_4853,4.402,-1,-1,-1,1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_8078,5.283,1,-1,-1,-1,-1,-1,1
10175263_773211986024580_256876850_a_0_8564,4.579,-1,-1,-1,1,-1,-1,-1
1171709_725948674103150_784734743_a_0_68,4.132,1,1,-1,-1,-1,-1,-1
929069_227384154127902_1039100888_a,5.209,1,-1,-1,-1,1,-1,-1
1171613_1478192065727054_1866669554_a_0_294,3.232,-1,-1,-1,-1,-1,1,-1
1168860_631650203570354_98153183_a_0_9471,4.708,-1,-1,-1,1,-1,-1,-1
1171958_574897019274392_480363742_a,4.366,1,-1,-1,-1,1,-1,-1
1516665_599760660101765_1421014296_a_0_9132,4.981,1,1,-1,-1,-1,-1,-1
10251508_601640796598199_699939552_a_0_2270,4.688,-1,-1,1,-1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_913,5.283,1,-1,-1,-1,-1,-1,1
10175356_532038600239709_257239378_a_0_2290,5.719,-1,-1,-1,1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_2616,4.992,1,-1,-1,-1,-1,-1,1
10012522_458910047573287_1060388331_a_0_3337,4.178,-1,-1,1,-1,-1,-1,-1
10175121_635661006489372_2001342236_a_0_8345,4.06,-1,-1,-1,-1,-1,1,-1
10013033_267141560113901_1792403080_a_0_9828,4.992,1,-1,-1,-1,-1,-1,1
10175322_440924499376499_319487928_a_0_234,3.184,1,1,-1,-1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_3776,3.38,1,-1,-1,-1,-1,-1,1
928229_677506625641310_307874862_a_0_855,4.122,-1,-1,-1,1,-1,-1,-1
1388895_653532541386470_759294485_a_0_4186,4.559,1,1,-1,-1,-1,-1,-1
10175144_237320729798344_1913606616_a_0_8020,4.01,1,1,-1,-1,-1,-1,-1
10175144_237320729798344_1913606616_a_0_5677,4.01,1,1,-1,-1,-1,-1,-1
10246137_760566773962868_1009847029_a_0_4281,4.223,-1,-1,-1,1,-1,-1,-1
10254181_753995364633111_109551758_a_0_8155,3.686,1,-1,-1,-1,-1,-1,1
10175214_1421727378080212_1505748511_a_0_7979,4.695,-1,-1,-1,-1,-1,1,-1
10011145_461429323991065_143707883_a_0_2770,3.601,-1,-1,-1,-1,-1,1,-1
10246062_424058304398230_1237490483_a_0_5203,3.679,1,1,-1,-1,-1,-1,-1
10009339_539945986123146_762803808_a_0_7500,3.81,1,1,-1,-1,-1,-1,-1
10245965_855911951093023_1895903220_a_0_6914,3.799,-1,-1,1,-1,-1,-1,-1
10254181_753995364633111_109551758_a_0_4194,3.686,1,-1,-1,-1,-1,-1,1
927620_244380759082069_572364851_a,4.251,1,-1,-1,-1,1,-1,-1
10254050_602517326509888_1646645034_a_0_9314,3.349,-1,-1,-1,-1,-1,1,-1
10005675_759626700744668_838890803_a,4.964,1,-1,-1,-1,1,-1,-1
10012504_627197604026517_1813492931_a_0_2511,3.819,-1,-1,-1,1,1,-1,-1
1171812_1390267837920957_1788910234_a_0_8565,4.788,-1,-1,1,-1,-1,-1,-1
10013113_640557202664407_230974357_a_0_6407,4.726,1,1,-1,-1,-1,-1,-1
10011286_490208474440199_598052707_a_0_9996,5.008,1,1,-1,-1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_8341,3.38,1,-1,-1,-1,-1,-1,1
925459_834557103225523_1228624476_a_0_2901,4.101,-1,-1,-1,-1,1,1,1
10011352_1468991869998064_959399649_a_0_6561,4.575,1,1,-1,-1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_3677,3.38,1,-1,-1,-1,-1,-1,1
10246150_703811396328138_960210896_a_0_8683,4.103,-1,-1,-1,-1,-1,1,-1
10013209_1402520500023782_298000570_a_0_7691,3.38,1,-1,-1,-1,-1,-1,1
10251507_480147892115828_1300151821_a_0_3796,4.845,1,1,-1,-1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_4282,5.283,1,-1,-1,-1,-1,-1,1
10175148_781086668569690_1904197698_a_0_1861,4.591,-1,-1,1,-1,-1,-1,-1
1962910_1443402775903035_1253298859_a,4.831,1,-1,-1,-1,1,-1,-1
1516818_767179956634416_2010108335_a_0_9662,5.283,1,-1,-1,-1,-1,-1,1
10246074_818220784873156_1971231255_a,4.902,1,-1,-1,-1,1,-1,-1
10011521_1412002319063515_1854488441_a_0_9431,4.166,-1,-1,1,-1,-1,-1,-1
10254181_753995364633111_109551758_a_0_2014,3.686,1,-1,-1,-1,-1,-1,1
10013209_1402520500023782_298000570_a_0_1282,3.38,1,-1,-1,-1,-1,-1,1
10013126_293841567438525_937800401_a,4.219,1,-1,-1,-1,1,-1,-1
926424_232813356910563_1069376484_a,3.742,-1,-1,-1,1,-1,-1,-1
10011158_1402071610066064_886016512_a_0_336,4.289,-1,-1,1,-1,-1,-1,-1
10013278_449304998533568_26305422_a_0_2052,4.313,-1,-1,-1,1,-1,-1,-1
927028_582336221861547_471299199_a,4.292,1,-1,-1,-1,1,-1,-1
10251426_275850182576954_227993925_a_0_8492,3.181,-1,-1,1,-1,-1,-1,-1
10246008_734020076638497_127969781_a_0_3021,4.465,-1,-1,1,-1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_4740,4.992,1,-1,-1,-1,-1,-1,1
10175121_809291585765342_35751392_a,3.624,1,-1,-1,-1,1,-1,-1
10246063_225460647653770_1295685293_a,4.283,1,-1,-1,-1,1,-1,-1
10251441_236436116547831_837149293_a_0_139,3.201,-1,-1,-1,-1,-1,1,-1
10013033_267141560113901_1792403080_a_0_3165,4.992,1,-1,-1,-1,-1,-1,1
10175215_235110163347710_1736705589_a_0_946,4.151,-1,-1,1,-1,-1,-1,-1
1516172_428649713937056_110895429_a_0_8035,3.359,-1,-1,-1,-1,-1,1,-1
1171680_650530361680780_2012513063_a_0_2322,4.393,-1,-1,1,-1,-1,-1,-1
10251542_641810302538884_919638358_a,4.452,1,-1,-1,-1,1,-1,-1
10254181_753995364633111_109551758_a_0_7313,3.686,1,-1,-1,-1,-1,-1,1
10013015_227523424121026_96685707_a,3.363,1,-1,-1,-1,1,-1,-1
1597365_534011550050729_2128790242_a_0_255,4.561,-1,-1,-1,1,-1,-1,-1
10249115_677530965627394_1900288535_a_0_4363,5.341,1,1,-1,-1,-1,-1,-1
10254181_753995364633111_109551758_a_0_8696,3.686,1,-1,-1,-1,-1,-1,1
10013151_274435416050728_1821944199_a_0_7642,4.149,-1,-1,-1,-1,-1,1,-1
10175172_465437180255355_1513852407_a_0_2033,4.297,1,1,-1,-1,-1,-1,-1
10254181_753995364633111_109551758_a_0_5726,3.686,1,-1,-1,-1,-1,-1,1
10175259_645672345481220_323124141_a_0_9861,4.344,-1,-1,1,-1,-1,-1,-1
1516060_1460219240879044_1553546156_a_0_9624,3.828,-1,-1,-1,-1,-1,1,-1
926150_319519214840077_1561076635_a,3.774,1,-1,-1,-1,1,-1,-1
1168803_231066540418113_285216732_a_0_521,4.56,-1,-1,-1,1,-1,-1,-1
10009148_283760198467324_1991099571_a_0_8844,3.864,-1,-1,1,-1,-1,-1,-1
10013160_248424025344809_322453975_a_0_8357,3.691,-1,-1,1,-1,-1,-1,-1
10249190_493563284076790_1192326800_a_0_4592,3.856,-1,-1,-1,-1,-1,1,-1
10175205_1465748483658204_1554333255_a,3.518,1,-1,-1,-1,1,-1,-1
10175408_650341181729799_1510876824_a_0_7698,4.196,1,1,-1,-1,-1,-1,-1
1515864_622050691197376_2108192279_a_0_2205,4.759,-1,-1,-1,-1,-1,1,-1
924345_227682660766080_765288227_a,3.247,-1,-1,-1,-1,-1,1,-1
10011258_137559203081040_590436154_a_0_965,5.041,-1,-1,1,-1,-1,-1,-1
10254181_753995364633111_109551758_a_0_188,3.686,1,-1,-1,-1,-1,-1,1
10013016_305010049665333_31456674_a_0_1356,5.014,1,1,-1,-1,-1,-1,-1
1963114_1451716161732045_735699904_a_0_9376,5.224,-1,-1,-1,-1,-1,1,-1
10254050_602517326509888_1646645034_a_0_311,3.349,-1,-1,-1,-1,-1,1,-1
10013301_717711268250674_1722312966_a_0_7271,4.116,-1,-1,-1,-1,-1,1,-1
10013160_659011660833398_1481172891_a_0_3455,4.641,1,1,-1,-1,-1,-1,-1
10251408_655160767854300_1933945406_a_0_9598,3.948,-1,-1,-1,-1,-1,1,-1
1171709_725948674103150_784734743_a_0_7982,4.132,1,1,-1,-1,-1,-1,-1
10254072_1400328093575785_2130776172_a_0_5842,4.236,1,1,-1,-1,-1,-1,-1
10245973_1492431157644468_49591346_a,4.477,-1,-1,-1,1,-1,-1,-1
10005692_1393497607596419_1670181879_a,4.066,-1,-1,-1,1,-1,-1,-1
10254240_1491430834414116_2020750888_a_0_9789,4.634,-1,-1,-1,-1,-1,1,-1
10011405_694377670606203_994063828_a_0_8219,4.362,-1,-1,1,-1,-1,-1,-1
10254181_753995364633111_109551758_a_0_502,3.686,1,-1,-1,-1,-1,-1,1
10251430_236591716533268_449242049_a_0_2123,3.682,-1,-1,1,-1,-1,-1,-1
1516665_599760660101765_1421014296_a_0_6058,4.981,1,1,-1,-1,-1,-1,-1
10251457_627475697341430_1975932636_a_0_4789,4.352,1,1,-1,-1,-1,-1,-1
10251522_267893270037959_179762564_a_0_8957,5.149,1,1,-1,-1,-1,-1,-1
10251435_255834587932932_957245481_a_0_5707,4.197,-1,-1,-1,1,-1,-1,-1
10013337_226569274208146_522731995_a_0_2919,4.481,-1,-1,1,-1,-1,-1,-1
10251552_281432985353762_991383991_a_0_3087,3.973,-1,-1,-1,1,-1,-1,-1
10175258_366672466804487_1963609235_a_0_3219,3.593,-1,-1,-1,-1,-1,1,-1
1516450_223420877854961_1976839674_a,3.248,-1,-1,-1,-1,-1,1,-1
10175351_230895063785592_852462277_a_0_9252,4.532,-1,-1,-1,-1,-1,1,-1
1515991_730715403616077_1235668544_a_0_6328,4.003,1,1,-1,-1,-1,-1,-1
927278_1414469058813717_1812368948_a_0_3496,4.879,1,1,-1,-1,-1,-1,-1
10251521_1472732999623061_1680376620_a,5.211,1,-1,-1,-1,1,-1,-1
924962_244465555739566_1222822237_a_0_9651,4.326,-1,-1,1,-1,-1,-1,-1
1389254_382502921884747_1751890672_a_0_1563,4.613,1,1,-1,-1,-1,-1,-1
927262_1421401964779675_1998531166_a_0_1025,3.673,-1,-1,-1,-1,-1,1,-1
1170332_285669668266391_639507851_a,4.242,1,-1,-1,-1,1,-1,-1
10012504_1379933348955657_1307953473_a_0_3301,3.513,-1,-1,-1,-1,-1,1,-1
927034_1455427424693626_2144887797_a_0_5695,3.936,-1,-1,-1,1,-1,-1,-1
1170412_742456182466137_706898997_a_0_4844,3.514,-1,-1,1,-1,-1,-1,-1
10011468_221353541386491_444483128_a_0_3890,3.758,-1,-1,-1,-1,-1,1,-1
10013209_1402520500023782_298000570_a_0_9760,3.38,1,-1,-1,-1,-1,-1,1
10251502_1456651697903813_2085160791_a_0_5083,4.671,-1,-1,-1,-1,-1,1,-1
10245939_623374041066393_1621002881_a_0_8479,3.77,-1,-1,-1,1,-1,-1,-1
10261100_672551489473280_1033108889_a_0_5709,4.299,-1,-1,-1,-1,-1,1,-1
1921992_288159538015903_1647630293_a_0_9943,3.749,-1,-1,1,-1,-1,-1,-1
10246093_644570408964817_1636753555_a_0_3481,4.37,-1,-1,-1,-1,-1,1,-1
10254189_684028941654343_1838162870_a_0_6647,4.015,-1,-1,1,-1,-1,-1,-1
10011315_1407332672870807_1329386661_a_0_5314,4.265,-1,-1,-1,1,-1,-1,-1
925459_834557103225523_1228624476_a_0_5203,4.101,-1,-1,-1,-1,1,1,1
10009260_451865398292961_1757183400_a_0_3095,4.596,-1,-1,-1,1,-1,-1,-1
1171075_374966375976148_2107303036_a_0_7529,5.194,-1,-1,-1,1,-1,-1,-1
1688625_839815979368602_1983811926_a_0_3010,2.925,-1,-1,1,-1,-1,-1,-1
10013218_454303188048693_1608802946_a_0_1200,4.348,1,1,-1,-1,-1,-1,-1
1171644_588264921269074_1831482271_a_0_2900,3.404,-1,-1,-1,-1,-1,1,-1
10175199_662510157138082_1153369060_a,3.716,-1,-1,-1,1,-1,-1,-1
10254244_692561990782711_2144110586_a_0_5247,4.231,1,1,-1,-1,-1,-1,-1
10012479_660947180631738_1273460183_a_0_1425,4.399,-1,-1,1,-1,-1,-1,-1
10246065_609606092462883_1186053410_a_0_2331,4.328,-1,-1,-1,-1,-1,1,-1
10175167_694677300575925_1403530331_a_0_4053,4.336,-1,-1,-1,1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_3094,5.283,1,-1,-1,-1,-1,-1,1
1941008_254567771394430_1636776783_a_0_7987,4.55,-1,-1,1,-1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_1241,4.992,1,-1,-1,-1,-1,-1,1
10013209_1402520500023782_298000570_a_0_1377,3.38,1,-1,-1,-1,-1,-1,1
10175127_675551369177566_1781205909_a_0_7802,4.516,1,1,-1,-1,-1,-1,-1
1172170_482055078560907_1945486459_a_0_3267,5.255,-1,-1,-1,1,-1,-1,-1
10013218_454303188048693_1608802946_a_0_8774,4.348,1,1,-1,-1,-1,-1,-1
10246065_302087963249174_230302378_a,4.06,-1,-1,-1,1,-1,-1,-1
10005652_213747508834759_2031083320_a_0_189,3.691,-1,-1,1,-1,-1,-1,-1
10175107_232333230301675_756822082_a_0_4832,4.93,-1,-1,-1,1,-1,-1,-1
10246228_246691888851567_1742445197_a,4.522,1,-1,-1,-1,1,-1,-1
10013016_305010049665333_31456674_a_0_5099,5.014,1,1,-1,-1,-1,-1,-1
1172048_1512151212345482_992119559_a,4.951,-1,-1,-1,-1,-1,1,-1
10175358_1411808595747775_185919311_a_0_2987,3.875,-1,-1,1,-1,-1,-1,-1
10251410_292843317538581_1654991454_a_0_3762,4.189,1,1,-1,-1,-1,-1,-1
1516555_821063901241212_1692519739_a_0_8077,4.405,-1,-1,1,-1,-1,-1,-1
10251506_289475897879169_1844589639_a_0_5797,4.448,-1,-1,-1,-1,-1,1,-1
1171231_1384860625086410_1289081979_a_0_5959,4.488,-1,-1,-1,1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_38,4.992,1,-1,-1,-1,-1,-1,1
925459_834557103225523_1228624476_a_0_6082,4.101,-1,-1,-1,-1,1,1,1
10011198_654760141255921_976325628_a_0_3064,5.004,-1,-1,-1,-1,-1,1,-1
1516689_1412296765699122_2100083670_a_0_687,4.891,1,1,-1,-1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_1284,4.992,1,-1,-1,-1,-1,-1,1
10013160_659011660833398_1481172891_a_0_8468,4.641,1,1,-1,-1,-1,-1,-1
1660401_573192426105240_779889641_a_0_2495,4.394,1,1,-1,-1,-1,-1,-1
10013033_1384590041783118_872248980_a_0_6816,4.432,1,1,-1,-1,-1,-1,-1
1516263_782726015077288_1676423577_a_0_9197,3.198,1,1,-1,-1,-1,-1,-1
10175199_730086167012187_1824357596_a_0_4666,4.431,-1,-1,1,-1,-1,-1,-1
927278_1414469058813717_1812368948_a_0_5912,4.879,1,1,-1,-1,-1,-1,-1
10251502_1456651697903813_2085160791_a_0_2237,4.671,-1,-1,-1,-1,-1,1,-1
10251562_763973746955337_1348997306_a_0_3024,3.356,-1,-1,1,-1,-1,-1,-1
10005246_1463140650584872_833430975_a_0_2346,4.317,-1,-1,-1,1,-1,-1,-1
1597121_1423498171233374_610180625_a_0_7552,3.966,-1,-1,1,-1,-1,-1,-1
1388988_629948787086967_1469843650_a_0_6761,3.887,1,1,-1,-1,-1,-1,-1
10011451_269803479864583_398159840_a_0_6241,5.203,-1,-1,1,-1,-1,-1,-1
10249161_538901062895495_581776125_a_0_5496,5.06,-1,-1,-1,1,-1,-1,-1
1172215_247868735401439_980431543_a,4.836,1,-1,-1,-1,1,-1,-1
10175303_551419338290308_2103978480_a_0_5567,4.527,-1,-1,-1,-1,-1,1,-1
10175362_1411170269149537_994444717_a_0_9297,4.919,-1,-1,-1,-1,-1,1,-1
